item	article	labelAr
http://www.wikidata.org/entity/Q689896	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AF%D9%8A%D8%B1_%D8%B3%D8%A7%D9%86%D8%AA_%D8%BA%D8%A7%D9%84	مكتبة دير سانت غال
http://www.wikidata.org/entity/Q728116	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%81%D9%88%D9%84%D8%AC%D8%B1_%D8%A7%D9%84%D8%B4%D9%83%D8%B3%D8%A8%D9%8A%D8%B1%D9%8A%D8%A9	مكتبة فولجر الشكسبيرية
http://www.wikidata.org/entity/Q856544	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A2%D8%B4%D9%88%D8%B1_%D8%A8%D8%A7%D9%86%D9%8A%D8%A8%D8%A7%D9%84	مكتبة آشور بانيبال
http://www.wikidata.org/entity/Q1201876	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9	المكتبة المفتوحة
http://www.wikidata.org/entity/Q815611	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%A3%D9%85%D8%A8%D8%B1%D9%88%D8%B2%D9%8A%D8%A7%D9%86%D8%A7	مكتبة الأمبروزيانا
http://www.wikidata.org/entity/Q774570	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%85%D8%A7%D8%B2%D8%A7%D8%B1%D9%8A%D9%86	مكتبة مازارين
http://www.wikidata.org/entity/Q33018	https://ar.wikipedia.org/wiki/%D8%A8%D9%8A%D8%AA_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A9	بيت الحكمة
http://www.wikidata.org/entity/Q50711	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%AF%D9%88%D9%82%D8%A9_%D8%A2%D9%86%D8%A7_%D8%A3%D9%85%D8%A7%D9%84%D9%8A%D8%A7	مكتبة الدوقة آنا أماليا
http://www.wikidata.org/entity/Q2704902	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%82%D8%B3%D8%B7%D9%86%D8%B7%D9%8A%D9%86%D9%8A%D8%A9	مكتبة القسطنطينية
http://www.wikidata.org/entity/Q1957240	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%85%D9%88%D8%B1%D8%A7%D9%81%D9%8A%D8%A7	مكتبة مورافيا
http://www.wikidata.org/entity/Q1507065	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A%D8%A9_%D9%88%D9%85%D8%AA%D8%AD%D9%81_%D8%AC%D9%88%D8%B1%D8%AC_%D8%A8%D9%88%D8%B4_%D8%A7%D9%84%D8%A3%D8%A8	المكتبة الرئاسية ومتحف جورج بوش الأب
http://www.wikidata.org/entity/Q4086354	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86%D9%8A%D8%A9	مكتبة السليمانية
http://www.wikidata.org/entity/Q3747209	https://ar.wikipedia.org/wiki/%D9%85%D8%A4%D8%B3%D8%B3%D8%A9_%D9%83%D9%88%D9%8A%D8%B1%D9%8A%D9%86%D9%8A_%D8%B3%D8%AA%D8%A7%D9%85%D8%A8%D8%A7%D9%84%D9%8A%D8%A7	مؤسسة كويريني ستامباليا
http://www.wikidata.org/entity/Q3195954	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9_%D8%A7%D9%84%D8%AE%D9%84%D8%AF%D9%88%D9%86%D9%8A%D8%A9	المدرسة الخلدونية
http://www.wikidata.org/entity/Q638395	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D9%84%D8%A7%D9%8A%D8%AF%D9%86	مكتبة جامعة لايدن
http://www.wikidata.org/entity/Q621972	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%82%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%B9%D8%B8%D9%85	مكتبة قائد العظم
http://www.wikidata.org/entity/Q630922	https://ar.wikipedia.org/wiki/%D8%A8%D9%8A%D8%AA_%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86	بيت القرآن
http://www.wikidata.org/entity/Q4120540	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AF%D9%8A%D9%81%D9%8A%D8%AF_%D8%B3%D8%A7%D8%B3%D9%88%D9%86	مكتبة ديفيد ساسون
http://www.wikidata.org/entity/Q4119248	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A2%D8%B3%D8%AA%D8%A7%D9%86_%D9%82%D8%AF%D8%B3_%D8%B1%D8%B6%D9%88%D9%8A_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9	مكتبة آستان قدس رضوي المركزية
http://www.wikidata.org/entity/Q4118811	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%83%D9%88%D8%A8%D8%B1%D9%8A%D9%84%D9%84%D9%8A	مكتبة كوبرولو
http://www.wikidata.org/entity/Q13081931	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D9%8A_%D8%AE%D8%B3%D8%B1%D9%88_%D8%A8%D9%83	مكتبة الغازي خسرو بك
http://www.wikidata.org/entity/Q8030968	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A3%D8%B9%D9%85%D8%A7%D9%84_%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9_%D9%88%D9%85%D8%A4%D8%B3%D8%B3%D8%A9_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2_%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A	مكتبة أعمال المرأة ومؤسسة المركز العلمي
http://www.wikidata.org/entity/Q4166342	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9_%D8%A8%D8%B1%D9%88%D8%B3%D8%AA%D9%88%D9%81-%D9%86%D8%A7-%D8%AF%D9%88%D9%86%D9%88	المكتبة العامة بروستوف-نا-دونو
http://www.wikidata.org/entity/Q517249	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%B3%D8%A7%D9%86%D8%AA_%D8%AC%D8%A7%D9%86%D9%81%D9%8A%D9%81	مكتبة سانت جانفيف
http://www.wikidata.org/entity/Q317950	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%81%D9%88%D8%B1%D8%AA%D9%85%D8%A8%D8%B1%D8%BA	مكتبة فورتمبرغ
http://www.wikidata.org/entity/Q501851	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9	مكتبة الإسكندرية الجديدة
http://www.wikidata.org/entity/Q391976	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AA%D8%B4%D8%B3%D8%AA%D8%B1_%D8%A8%D9%8A%D8%AA%D9%8A	مكتبة تشستر بيتي
http://www.wikidata.org/entity/Q393060	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AA%D8%B1%D8%A8%D9%8A%D8%AA	مكتبة تربيت
http://www.wikidata.org/entity/Q339759	https://ar.wikipedia.org/wiki/%D8%A8%D8%A8%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%83%D8%A7_%D9%87%D9%8A%D8%B1%D8%AA%D8%B3%D9%8A%D8%A7%D9%86%D8%A7	ببليوتيكا هيرتسيانا
http://www.wikidata.org/entity/Q1602700	https://ar.wikipedia.org/wiki/%D9%82%D9%85%D8%B1%D8%A9_%D8%B1%D8%A7%D8%AF%D9%83%D9%84%D9%8A%D9%81	قمرة رادكليف
http://www.wikidata.org/entity/Q1582723	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D8%AD%D9%82%D9%82_%D8%A7%D9%84%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%D9%8A	مكتبة المحقق الطباطبائي
http://www.wikidata.org/entity/Q1455447	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%87%D8%A7%D8%AF%D8%B1%D9%8A%D8%A7%D9%86	مكتبة هادريان
http://www.wikidata.org/entity/Q2399120	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9_%D8%A7%D9%84%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A9_%D9%84%D9%84%D8%B9%D9%84%D9%88%D9%85_%D9%88%D8%A7%D9%84%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7	المكتبة الوطنية الألمانية للعلوم والتكنولوجيا
http://www.wikidata.org/entity/Q2531939	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%B3%D9%8A%D8%A7%D8%AA%D9%84_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9	مكتبة سياتل المركزية
http://www.wikidata.org/entity/Q1400558	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%87%D9%86%D8%AA%D9%86%D8%BA%D8%AA%D9%88%D9%86	مكتبة هنتنغتون
http://www.wikidata.org/entity/Q896935	https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%AD%D9%81_%D8%B1%D9%88%D9%85%D8%B1-%D8%A8%D9%8A%D9%84%D9%8A%D8%B2%D9%8A%D9%88%D8%B3	متحف رومر-بيليزيوس
http://www.wikidata.org/entity/Q856559	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%83%D9%84%D9%8A%D8%A9_%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D9%88%D8%AB	مكتبة كلية الثالوث
http://www.wikidata.org/entity/Q1232190	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AC%D9%85%D8%B9_%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A	المجمع العلمي المصري
http://www.wikidata.org/entity/Q574027	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%86%D9%88%D8%A8%D9%84	مكتبة نوبل
http://www.wikidata.org/entity/Q1394898	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%85%D8%A7%D9%83%D8%B3_%D8%A8%D9%84%D8%A7%D9%86%D9%83_%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9	مكتبة ماكس بلانك الرقمية
http://www.wikidata.org/entity/Q962291	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%BA%D9%8A%D8%B2%D9%84	مكتبة غيزل
http://www.wikidata.org/entity/Q22690109	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9_%D9%81%D9%8A_%D9%84%D8%A8%D9%86%D8%A7%D9%86	مكتبة الجامعة الإسلامية في لبنان
http://www.wikidata.org/entity/Q22690118	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AD%D8%B3%D9%8A%D9%86%D9%8A%D8%A9_%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9	مكتبة حسينية النبطية العامة
http://www.wikidata.org/entity/Q22690115	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D9%83%D8%B3%D9%84%D9%8A%D9%83	مكتبة جامعة الكسليك
http://www.wikidata.org/entity/Q22690113	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%83%D9%81%D8%B1%D8%A9	مكتبة الكفرة
http://www.wikidata.org/entity/Q22690117	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A8%D9%8A%D8%B1%D9%88%D8%AA_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9	مكتبة جامعة بيروت العربية
http://www.wikidata.org/entity/Q22690119	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%85%D8%AC%D9%85%D8%B9_%D9%86%D8%A8%D9%8A%D9%87_%D8%A8%D8%B1%D9%8A_%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9	مكتبة مجمع نبيه بري الثقافي العامة
http://www.wikidata.org/entity/Q22690110	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9	مكتبة الجامعة اللبنانية
http://www.wikidata.org/entity/Q22684743	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D9%82%D8%B5%D9%89_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85_(%D8%AD%D8%AC%D8%B1_%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86)	الأقصى القديم
http://www.wikidata.org/entity/Q22690111	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9_%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9	مكتبة الجامعة اللبنانية الأمريكية
http://www.wikidata.org/entity/Q22690114	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A8%D8%BA%D8%AF%D8%A7%D8%AF	مكتبة بغداد
http://www.wikidata.org/entity/Q22690112	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%B3%D9%8A%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D8%AD%D8%B3%D9%8A%D9%86_%D9%81%D8%B6%D9%84_%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9	مكتبة السيد محمد حسين فضل الله العامة
http://www.wikidata.org/entity/Q22929523	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%B8%D9%87%D8%B1_%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D9%88%D9%82%D9%8A	مكتبة محمد مظهر الفاروقي
http://www.wikidata.org/entity/Q22929533	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D9%85%D8%B5%D8%B1_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9_%D8%A7%D9%84%D8%B2%D8%A7%D9%88%D9%8A%D8%A9_%D8%A7%D9%84%D8%AD%D9%85%D8%B1%D8%A7%D8%A1	مكتبة مصر العامة الزاوية الحمراء
http://www.wikidata.org/entity/Q22935810	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A7%D8%AA_%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D9%88%D8%AA%D9%82%D9%86%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%85_(_%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9_%D8%A8%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9)	مكتبات الجامعة وتقنيات التعلم ( الجامعة الأمريكية بالقاهرة)
http://www.wikidata.org/entity/Q5442858	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%86%D8%B3%D9%88%D9%8A%D8%A9	مكتبة النسوية
http://www.wikidata.org/entity/Q5171572	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D9%83%D9%88%D8%B1%D9%86%D9%8A%D9%84	مكتبة جامعة كورنيل
http://www.wikidata.org/entity/Q20424775	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A3%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D9%86%D8%A7%D8%A6%D8%A8	مكتبة أحمد النائب
http://www.wikidata.org/entity/Q20424786	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D9%84%D9%83_%D8%B3%D9%84%D9%85%D8%A7%D9%86_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9	مكتبة الملك سلمان المركزية
http://www.wikidata.org/entity/Q12193674	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9	المكتبة المركزية العامة
http://www.wikidata.org/entity/Q12244790	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D9%84%D9%83_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A8%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D8%A9	مكتبة الملك عبد العزيز بالمدينة المنورة
http://www.wikidata.org/entity/Q12244788	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D8%B3%D8%AC%D8%AF_%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A	مكتبة المسجد النبوي
http://www.wikidata.org/entity/Q12244804	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A8%D9%84%D8%AF%D9%8A%D8%A9_%D8%B1%D8%A7%D9%85_%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9	مكتبة رام الله العامة
http://www.wikidata.org/entity/Q12244768	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%A3%D8%B2%D9%87%D8%B1	مكتبة الأزهر
http://www.wikidata.org/entity/Q12244775	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%86%D8%B5%D8%B1%D9%8A%D8%A9	مكتبة الجامعة المستنصرية
